,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
195,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7,30,125,119,1.05,5,0.32,3.66,0.100,45.9,0.22699999999999998
196,최재원,NC,0.247,114,102,85,31,21,8,0,2,35,13,1,0,10,20,15,1.33,0,0.34,4.23,0.165,14.2,0.268
197,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5,39,142,129,1.10,8,0.55,3.62,0.152,55.5,0.243
198,용덕한,NC,0.243,91,157,140,12,34,6,0,1,43,13,5,0,7,55,25,2.20,1,0.31,3.36,0.064,13.1,0.213
199,김준완,NC,0.227,30,54,44,12,10,0,0,0,10,2,0,0,0,15,9,1.67,0,1.00,4.26,0.000,4.9,0.223
200,강구성,NC,0.200,4,5,5,0,1,1,0,0,2,0,0,0,1,3,1,3.00,0,-,4.40,0.200,0.4,0.19
201,윤병호,NC,0.111,9,9,9,0,1,0,0,0,1,0,0,0,0,4,0,-,0,0.00,4.22,0.000,-0.3,0.078
202,노진혁,NC,0.079,65,42,38,4,3,2,0,0,5,2,1,1,2,11,14,0.79,0,0.18,4.12,0.053,-0.2,0.08800000000000001
203,강민국,NC,0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0,0.00,4.50,0.000,-0.2,0.0
204,강장산,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
205,고창성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
206,김태진,NC,0.000,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,-,0,-,4.00,0.000,-0.3,0.0
207,노성호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
208,마낙길,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-0.3,0.0
209,민성기,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
210,손민한,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
211,이민호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
212,유한준,넥센,0.36200000000000004,139,598,520,103,188,42,1,23,301,116,1,8,66,131,138,0.95,9,0.94,4.01,0.217,116.0,0.33799999999999997
213,박병호,넥센,0.34299999999999997,140,622,528,129,181,35,1,53,377,146,0,4,89,87,103,0.84,16,0.48,4.05,0.371,144.7,0.375
214,김민성,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3,40,120,131,0.92,2,0.50,3.94,0.162,68.1,0.27699999999999997
215,이정식,삼성,0.400,5,5,5,0,2,0,0,0,2,0,0,0,0,0,2,0.00,0,0.00,3.20,0.000,0.7,0.28
216,배영섭,삼성,0.375,4,18,16,2,6,0,0,0,6,2,0,0,0,4,2,2.00,1,0.50,4.33,0.000,2.2,0.294
217,구자욱,삼성,0.349,116,465,410,97,143,33,5,11,219,57,0,4,49,89,103,0.86,2,0.57,3.97,0.185,85.7,0.321
218,채태인,삼성,0.348,104,373,333,35,116,19,0,8,159,49,0,4,27,72,57,1.26,5,0.36,3.82,0.129,58.5,0.303
219,이승엽,삼성,0.332,122,522,470,87,156,28,1,26,264,90,0,6,55,114,135,0.84,8,0.56,3.86,0.230,94.3,0.315
220,진갑용,삼성,0.324,39,73,68,8,22,2,0,3,33,10,0,1,5,20,18,1.11,1,0.44,3.82,0.162,10.7,0.281
221,박석민,삼성,0.321,135,559,448,90,144,25,0,26,247,116,1,8,51,103,112,0.92,14,0.86,4.26,0.230,107.2,0.336
222,최형우,삼성,0.318,144,637,547,94,174,33,1,33,308,123,0,8,67,114,166,0.69,18,0.72,4.02,0.245,115.6,0.322
223,이지영,삼성,0.305,124,400,361,36,110,10,1,1,125,55,16,5,12,136,88,1.55,5,0.44,3.11,0.042,40.3,0.23600000000000002
224,박한이,삼성,0.300,94,429,367,62,110,17,4,11,168,52,7,1,32,128,67,1.91,5,0.84,3.90,0.158,61.7,0.29
225,박해민,삼성,0.293,144,608,525,96,154,22,7,0,190,47,23,2,29,160,87,1.84,6,0.44,3.90,0.069,77.8,0.253
226,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9,68,137,181,0.76,11,1.29,4.21,0.309,126.1,0.326
227,김상수,삼성,0.278,132,518,449,67,125,30,4,8,187,63,13,7,42,126,149,0.85,5,0.77,3.71,0.138,68.7,0.259
228,백상원,삼성,0.247,52,94,77,10,19,5,0,0,24,7,2,1,5,21,16,1.31,1,0.59,4.55,0.065,9.7,0.24
229,이흥련,삼성,0.238,71,108,105,16,25,7,0,1,35,17,1,0,8,32,26,1.23,2,0.05,3.57,0.095,8.0,0.19699999999999998
230,이영욱,삼성,0.227,38,26,22,8,5,2,0,0,7,2,0,0,2,5,2,2.50,0,0.30,4.35,0.091,2.4,0.235
231,박찬도,삼성,0.213,116,106,89,32,19,2,1,0,23,9,5,0,3,22,23,0.96,0,0.32,4.08,0.045,8.3,0.203
232,우동균,삼성,0.208,37,82,72,12,15,4,0,0,19,6,1,0,4,26,19,1.37,0,0.75,4.02,0.056,4.9,0.19899999999999998
233,김재현,삼성,0.171,73,48,41,7,7,0,0,0,7,5,2,0,0,12,11,1.09,1,0.45,3.50,0.000,1.8,0.16
234,김정혁,삼성,0.167,17,20,18,3,3,0,0,0,3,1,1,0,0,5,7,0.71,0,0.33,3.85,0.000,0.5,0.13699999999999998
235,최선호,삼성,0.167,33,44,42,8,7,1,0,0,8,1,2,0,1,9,13,0.69,0,0.00,3.34,0.024,0.9,0.12300000000000001
236,강봉규,삼성,0.000,5,8,6,0,0,0,0,0,0,0,0,0,0,2,1,2.00,0,0.33,3.25,0.000,0.1,0.113
237,김태완,삼성,0.000,4,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0.00,0,0.50,6.33,0.000,-0.1,0.075
238,박계범,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
239,심창민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
240,윤영수,삼성,0.000,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.00,5.00,0.000,-0.2,0.0
241,이상훈,삼성,0.000,4,8,7,0,0,0,0,0,0,0,1,0,0,3,2,1.50,0,0.00,3.88,0.000,-0.6,0.0
242,임창용,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
243,정인욱,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
244,최민구,삼성,-,6,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0.00,0,-,5.00,-,0.4,0.0
245,이진석,SK,0.500,6,2,2,1,1,0,0,0,1,0,0,0,0,0,0,-,0,0.00,6.50,0.000,0.1,0.35
246,김기현,SK,0.429,9,9,7,0,3,0,0,0,3,0,0,0,0,0,1,0.00,0,0.67,4.22,0.000,1.8,0.35700000000000004
247,이현석,SK,0.333,3,3,3,1,1,0,0,1,4,2,0,0,1,1,0,-,0,0.00,3.33,1.000,1.3,0.483
248,홍명찬,SK,0.333,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,-,0,0.00,3.33,0.000,0.3,0.233
249,정의윤,SK,0.320,91,297,259,38,83,14,0,14,139,51,0,3,28,56,77,0.73,5,0.57,3.71,0.216,53.2,0.313
250,이명기,SK,0.315,137,582,521,88,164,30,2,3,207,35,11,4,35,177,98,1.81,1,0.41,3.87,0.083,75.4,0.265
251,최정민,SK,0.308,8,15,13,1,4,0,0,0,4,2,1,0,0,5,1,5.00,0,0.33,3.60,0.000,1.5,0.23800000000000002
252,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2,28,121,118,1.03,5,0.74,3.49,0.111,53.3,0.263
253,최정,SK,0.295,81,330,275,43,81,17,0,17,149,58,1,3,34,45,74,0.61,10,0.59,4.20,0.247,58.5,0.316
254,허웅,SK,0.294,18,19,17,2,5,1,0,0,6,3,0,0,1,1,8,0.13,0,0.67,3.89,0.059,2.3,0.254
255,이재원,SK,0.282,140,559,489,58,138,18,1,17,209,100,0,5,36,115,156,0.74,11,0.64,3.66,0.145,71.8,0.27
256,박정권,SK,0.281,124,494,438,66,123,23,0,21,209,70,4,2,44,96,102,0.94,5,0.39,4.02,0.196,71.1,0.278
257,나주환,SK,0.268,96,273,246,31,66,15,0,5,96,22,12,1,20,70,64,1.09,3,0.26,3.94,0.122,25.6,0.23600000000000002
258,김연훈,SK,0.267,49,73,60,4,16,1,0,1,20,3,5,1,2,11,16,0.69,0,0.33,3.99,0.067,7.7,0.235
259,이대수,SK,0.264,36,86,72,9,19,3,0,2,28,12,6,1,5,18,13,1.38,1,0.26,3.95,0.125,7.5,0.244
260,조동화,SK,0.261,119,304,245,38,64,6,1,2,78,15,22,2,9,78,55,1.42,1,0.60,4.13,0.057,34.1,0.237
261,브라운,SK,0.261,137,539,464,82,121,21,2,28,230,76,0,2,51,116,102,1.14,9,0.52,3.98,0.235,81.7,0.28600000000000003
262,정상호,SK,0.254,113,324,279,34,71,11,1,12,120,49,8,0,24,62,66,0.94,5,0.28,3.96,0.176,42.1,0.261
263,박진만,SK,0.248,78,162,133,12,33,5,0,2,44,14,2,0,7,31,48,0.65,1,1.10,4.12,0.083,17.7,0.252
264,박재상,SK,0.248,108,292,250,34,62,12,2,7,99,37,6,1,21,70,66,1.06,5,0.60,4.24,0.148,34.1,0.252
265,김강민,SK,0.246,96,328,293,43,72,17,0,4,101,31,4,1,21,74,65,1.14,5,0.28,3.88,0.099,31.4,0.228
266,윤중환,SK,0.240,15,28,25,1,6,0,0,1,9,4,0,0,1,8,5,1.60,0,0.50,4.43,0.120,2.9,0.23399999999999999
267,박계현,SK,0.231,97,302,264,27,61,2,0,0,63,21,13,1,2,103,56,1.84,0,0.44,3.76,0.008,20.2,0.192
268,김민식,SK,0.167,23,26,24,4,4,0,0,0,4,0,0,0,0,11,7,1.57,0,1.00,3.73,0.000,0.1,0.146
269,박윤,SK,0.111,17,29,27,1,3,0,0,0,3,0,1,0,0,8,3,2.67,0,0.00,3.66,0.000,-0.8,0.092
270,김재현,SK,0.105,46,20,19,13,2,0,1,0,4,0,0,0,1,8,3,2.67,0,0.00,4.10,0.105,1.2,0.12
271,안정광,SK,0.105,10,19,19,0,2,0,0,0,2,1,0,0,0,6,4,1.50,0,0.00,3.47,0.000,-0.6,0.07400000000000001
272,유서준,SK,0.083,17,13,12,5,1,0,0,0,1,0,0,0,0,4,4,1.00,0,0.33,4.15,0.000,-0.3,0.09
273,고효준,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
274,박정배,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0
